utr,credited_amount,value_date,narration
UTR7211755002001,48137.3,2026-08-01,"NEFT CR RODRIGUEZ, FIGUEROA AND SANCHEZ UTR7211755002001"
UTR1652580863002,45350.4,2026-08-18,NEFT CR DOYLE LTD UTR1652580863002
UTR3008687593003,12083.22,2026-08-25,"NEFT CR MCCLAIN, MILLER AND HENDERSON UTR3008687593003"
UTR6857022021004,41627.03,2026-08-21,NEFT CR DAVIS AND SONS UTR6857022021004
UTR8136760652005,21209.03,2026-08-21,"NEFT CR GUZMAN, HOFFMAN AND BALDWIN UTR8136760652005"
UTR9656872032006,34938.39,2026-08-09,"NEFT CR GARDNER, ROBINSON AND LAWRENCE UTR9656872032006"
UTR8363942252007,16218.22,2026-08-19,NEFT CR BLAKE AND SONS UTR8363942252007
UTR3295001674008,44051.66,2026-08-19,"NEFT CR HENDERSON, RAMIREZ AND LEWIS UTR3295001674008"
UTR5425961877009,5232.81,2026-08-13,NEFT CR GARCIA-JAMES UTR5425961877009
UTR4498251982010,25843.07,2026-08-10,NEFT CR ABBOTT-MUNOZ UTR4498251982010
UTR1319995413011,48101.74,2026-08-20,NEFT CR BLAIR PLC UTR1319995413011
UTR3089040771012,73906.44,2026-08-26,NEFT CR DUDLEY GROUP UTR3089040771012
UTR1569976736013,35908.54,2026-08-18,NEFT CR ARNOLD LTD UTR1569976736013
UTR4200550700014,28319.83,2026-08-17,"NEFT CR MCCLURE, WARD AND LEE UTR4200550700014"
UTR0262195478015,2840.27,2026-08-11,NEFT CR WILLIAMS AND SONS UTR0262195478015
UTR6348066078016,14685.54,2026-08-04,NEFT CR GALLOWAY-WYATT UTR6348066078016
UTR1442294850017,8640.54,2026-08-07,NEFT CR JAMES GROUP UTR1442294850017
UTR9981424039018,74946.54,2026-08-01,"NEFT CR FLOWERS, MARTIN AND KELLY UTR9981424039018"
UTR7267764120019,20257.63,2026-08-26,"NEFT CR ADAMS, ZUNIGA AND WONG UTR7267764120019"
UTR7055819015020,55312.42,2026-08-02,"NEFT CR REID, FERGUSON AND SANCHEZ UTR7055819015020"
UTR4955006532021,50803.34,2026-08-08,NEFT CR GRAY-MAYO UTR4955006532021
UTR2362370499022,50394.59,2026-08-11,"NEFT CR WATTS, ROBINSON AND NGUYEN UTR2362370499022"
UTR5130224539023,5957.92,2026-08-07,NEFT CR PEREZ INC UTR5130224539023
UTR0826911152024,60628.95,2026-08-17,NEFT CR MORALES-JONES UTR0826911152024
UTR3685290680025,45559.82,2026-08-23,"NEFT CR WALTER, EDWARDS AND RIOS UTR3685290680025"
UTR6275400895026,25349.96,2026-08-05,NEFT CR WILKERSON-DAY UTR6275400895026
UTR5403990366027,62677.33,2026-08-19,NEFT CR BAKER AND SONS UTR5403990366027
UTR8461989880028,26849.06,2026-08-18,"NEFT CR HOFFMAN, BAKER AND RICHARDS UTR8461989880028"
UTR7467217304029,55374.05,2026-08-11,"NEFT CR ROSS, ROBINSON AND BRIGHT UTR7467217304029"
UTR3882632073030,15368.18,2026-08-15,"NEFT CR SNYDER, CAMPOS AND CALLAHAN UTR3882632073030"
UTR9591919214031,38450.72,2026-08-22,NEFT CR BURTON LTD UTR9591919214031
UTR4918104586032,54776.61,2026-08-11,NEFT CR CARLSON-CRUZ UTR4918104586032
UTR6306338733033,70549.6,2026-08-24,"NEFT CR FERRELL, RICE AND MADDOX UTR6306338733033"
UTR6516371548034,30925.27,2026-08-13,NEFT CR FRAZIER INC UTR6516371548034
UTR4564424971035,23138.68,2026-08-07,"NEFT CR DYER, POTTER AND MACK UTR4564424971035"
UTR6609238109036,6817.27,2026-08-17,NEFT CR RODRIGUEZ-GRAHAM UTR6609238109036
UTR0461642607037,46039.91,2026-08-25,NEFT CR SMITH-BOWEN UTR0461642607037
UTR7286459114038,57868.44,2026-08-04,"NEFT CR BAKER, MASON AND WHITE UTR7286459114038"
UTR5986758587039,17726.76,2026-08-18,NEFT CR PARTIAL 1 UTR5986758587039
UTR5986758587039,22342.57,2026-08-19,NEFT CR PARTIAL 2 UTR5986758587039
UTR8274247238040,6421.8,2026-08-08,NEFT CR PARTIAL 1 UTR8274247238040
UTR8274247238040,13387.97,2026-08-09,NEFT CR PARTIAL 2 UTR8274247238040
UTR6704542495041,5970.04,2026-08-13,NEFT CR PARTIAL 1 UTR6704542495041
UTR6704542495041,5766.84,2026-08-14,NEFT CR PARTIAL 2 UTR6704542495041
UTR5492388577042,36623.89,2026-08-25,NEFT CR PARTIAL 1 UTR5492388577042
UTR5492388577042,27702.65,2026-08-26,NEFT CR PARTIAL 2 UTR5492388577042
UTR4036414160043,15420.55,2026-08-09,NEFT CR PARTIAL 1 UTR4036414160043
UTR4036414160043,21452.55,2026-08-10,NEFT CR PARTIAL 2 UTR4036414160043
UTR0481234382044,24905.48,2026-08-01,NEFT CR PARTIAL 1 UTR0481234382044
UTR0481234382044,17641.72,2026-08-02,NEFT CR PARTIAL 2 UTR0481234382044
UTR4709209002045,17605.05,2026-08-03,NEFT CR PARTIAL 1 UTR4709209002045
UTR4709209002045,14301.53,2026-08-04,NEFT CR PARTIAL 2 UTR4709209002045
UTR1652671671046,25537.26,2026-08-08,NEFT CR PARTIAL 1 UTR1652671671046
UTR1652671671046,21252.25,2026-08-09,NEFT CR PARTIAL 2 UTR1652671671046
UTR5959391582047,70663.73,2026-08-04,NEFT CR NET UTR5959391582047
UTR8619734353048,51203.27,2026-08-10,NEFT CR NET UTR8619734353048
UTR1968747928049,62287.85,2026-08-16,NEFT CR NET UTR1968747928049
UTR4853292475050,39635.86,2026-08-16,NEFT CR NET UTR4853292475050
UTR0812738720051,49093.43,2026-08-11,NEFT CR NET UTR0812738720051
UTR2452474024052,69451.98,2026-08-03,NEFT CR NET UTR2452474024052
UTR5454737221053,18186.66,2026-08-22,NEFT CR NET UTR5454737221053
UTR7961725759054,14497.13,2026-08-04,NEFT CR NET UTR7961725759054
UTR3371002967055,62530.81,2026-08-11,NEFT CR LAGGED UTR3371002967055
UTR4410948406056,8142.78,2026-08-03,NEFT CR LAGGED UTR4410948406056
