payment_id,true_case_type
pay_00001,clean_match
pay_00002,clean_match
pay_00003,clean_match
pay_00004,clean_match
pay_00005,clean_match
pay_00006,clean_match
pay_00007,clean_match
pay_00008,clean_match
pay_00009,clean_match
pay_00010,clean_match
pay_00011,clean_match
pay_00012,clean_match
pay_00013,clean_match
pay_00014,clean_match
pay_00015,clean_match
pay_00016,clean_match
pay_00017,clean_match
pay_00018,clean_match
pay_00019,clean_match
pay_00020,clean_match
pay_00021,clean_match
pay_00022,clean_match
pay_00023,clean_match
pay_00024,clean_match
pay_00025,clean_match
pay_00026,clean_match
pay_00027,clean_match
pay_00028,clean_match
pay_00029,clean_match
pay_00030,clean_match
pay_00031,clean_match
pay_00032,clean_match
pay_00033,clean_match
pay_00034,clean_match
pay_00035,clean_match
pay_00036,clean_match
pay_00037,clean_match
pay_00038,clean_match
pay_00039,clean_match
pay_00040,clean_match
pay_00041,clean_match
pay_00042,clean_match
pay_00043,clean_match
pay_00044,clean_match
pay_00045,clean_match
pay_00046,clean_match
pay_00047,clean_match
pay_00048,clean_match
pay_00049,clean_match
pay_00050,clean_match
pay_00051,clean_match
pay_00052,clean_match
pay_00053,clean_match
pay_00054,clean_match
pay_00055,clean_match
pay_00056,clean_match
pay_00057,clean_match
pay_00058,clean_match
pay_00059,clean_match
pay_00060,clean_match
pay_00061,clean_match
pay_00062,clean_match
pay_00063,clean_match
pay_00064,clean_match
pay_00065,clean_match
pay_00066,clean_match
pay_00067,clean_match
pay_00068,clean_match
pay_00069,clean_match
pay_00070,clean_match
pay_00071,clean_match
pay_00072,clean_match
pay_00073,clean_match
pay_00074,clean_match
pay_00075,clean_match
pay_00076,clean_match
pay_00077,clean_match
pay_00078,clean_match
pay_00079,clean_match
pay_00080,clean_match
pay_00081,clean_match
pay_00082,clean_match
pay_00083,clean_match
pay_00084,clean_match
pay_00085,clean_match
pay_00086,clean_match
pay_00087,clean_match
pay_00088,clean_match
pay_00089,clean_match
pay_00090,clean_match
pay_00091,clean_match
pay_00092,clean_match
pay_00093,clean_match
pay_00094,clean_match
pay_00095,clean_match
pay_00096,clean_match
pay_00097,clean_match
pay_00098,clean_match
pay_00099,clean_match
pay_00100,clean_match
pay_00101,clean_match
pay_00102,clean_match
pay_00103,clean_match
pay_00104,clean_match
pay_00105,clean_match
pay_00106,clean_match
pay_00107,clean_match
pay_00108,clean_match
pay_00109,clean_match
pay_00110,clean_match
pay_00111,clean_match
pay_00112,clean_match
pay_00113,clean_match
pay_00114,clean_match
pay_00115,clean_match
pay_00116,clean_match
pay_00117,clean_match
pay_00118,clean_match
pay_00119,clean_match
pay_00120,clean_match
pay_00121,clean_match
pay_00122,clean_match
pay_00123,clean_match
pay_00124,clean_match
pay_00125,clean_match
pay_00126,clean_match
pay_00127,clean_match
pay_00128,clean_match
pay_00129,clean_match
pay_00130,clean_match
pay_00131,clean_match
pay_00132,clean_match
pay_00133,clean_match
pay_00134,clean_match
pay_00135,clean_match
pay_00136,clean_match
pay_00137,clean_match
pay_00138,clean_match
pay_00139,clean_match
pay_00140,clean_match
pay_00141,clean_match
pay_00142,clean_match
pay_00143,clean_match
pay_00144,clean_match
pay_00145,clean_match
pay_00146,clean_match
pay_00147,clean_match
pay_00148,clean_match
pay_00149,clean_match
pay_00150,clean_match
