invoice_id,expected_amount,payment_id,status
INV-2026-00001,48137.3,pay_00001,open
INV-2026-00002,45350.4,pay_00002,open
INV-2026-00003,12083.22,pay_00003,open
INV-2026-00004,41627.03,pay_00004,open
INV-2026-00005,21209.03,pay_00005,open
INV-2026-00006,34938.39,pay_00006,open
INV-2026-00007,16218.22,pay_00007,open
INV-2026-00008,44051.66,pay_00008,open
INV-2026-00009,5232.81,pay_00009,open
INV-2026-00010,25843.07,pay_00010,open
INV-2026-00011,48101.74,pay_00011,open
INV-2026-00012,73906.44,pay_00012,open
INV-2026-00013,35908.54,pay_00013,open
INV-2026-00014,28319.83,pay_00014,open
INV-2026-00015,2840.27,pay_00015,open
INV-2026-00016,14685.54,pay_00016,open
INV-2026-00017,8640.54,pay_00017,open
INV-2026-00018,74946.54,pay_00018,open
INV-2026-00019,20257.63,pay_00019,open
INV-2026-00020,55312.42,pay_00020,open
INV-2026-00021,50803.34,pay_00021,open
INV-2026-00022,50394.59,pay_00022,open
INV-2026-00023,5957.92,pay_00023,open
INV-2026-00024,60628.95,pay_00024,open
INV-2026-00025,45559.82,pay_00025,open
INV-2026-00026,25349.96,pay_00026,open
INV-2026-00027,62677.33,pay_00027,open
INV-2026-00028,26849.06,pay_00028,open
INV-2026-00029,55374.05,pay_00029,open
INV-2026-00030,15368.18,pay_00030,open
INV-2026-00031,38450.72,pay_00031,open
INV-2026-00032,54776.61,pay_00032,open
INV-2026-00033,70549.6,pay_00033,open
INV-2026-00034,30925.27,pay_00034,open
INV-2026-00035,23138.68,pay_00035,open
INV-2026-00036,6817.27,pay_00036,open
INV-2026-00037,46039.91,pay_00037,open
INV-2026-00038,57868.44,pay_00038,open
INV-2026-00039,40069.33,pay_00039,open
INV-2026-00040,19809.77,pay_00040,open
INV-2026-00041,11736.88,pay_00041,open
INV-2026-00042,64326.54,pay_00042,open
INV-2026-00043,36873.1,pay_00043,open
INV-2026-00044,42547.2,pay_00044,open
INV-2026-00045,31906.58,pay_00045,open
INV-2026-00046,46789.51,pay_00046,open
INV-2026-00047,72371.7,pay_00047,open
INV-2026-00048,52440.88,pay_00048,open
INV-2026-00049,63793.38,pay_00049,open
INV-2026-00050,40593.88,pay_00050,open
INV-2026-00051,50280.04,pay_00051,open
INV-2026-00052,71130.66,pay_00052,open
INV-2026-00053,18626.23,pay_00053,open
INV-2026-00054,14847.53,pay_00054,open
INV-2026-00055,62530.81,pay_00055,open
INV-2026-00056,8142.78,pay_00056,open
INV-2026-00057,4493.88,pay_00057,open
INV-2026-00058,44345.12,pay_00058,open
INV-2026-00059,12161.68,pay_00059,open
INV-2026-00060,44439.32,pay_00060,open
INV-2026-00061,24512.96,pay_00061,open
INV-2026-00062,2426.93,pay_00062,open
INV-2026-00063,74772.44,pay_00063,open
INV-2026-00064,47791.46,pay_00064,open
INV-2026-00065,34384.53,pay_00065,open
INV-2026-00066,19303.71,pay_00066,open
INV-2026-00067,4345.08,pay_00067,open
INV-2026-00068,41416.86,pay_00068,open
INV-2026-00069,36611.03,pay_00069,open
INV-2026-00070,9251.23,pay_00070,open
INV-2026-00071,38363.95,pay_00071,open
