payment_id,utr,reason,confidence,bank_amount,bank_amount_total,expected_net,lag_days,ledger_confirmed,num_bank_rows,settlement_amount
pay_00001,UTR7211755002001,exact_match,100,48137.3,,,,True,,48137.3
pay_00002,UTR1652580863002,exact_match,100,45350.4,,,,True,,45350.4
pay_00003,UTR3008687593003,exact_match,100,12083.22,,,,True,,12083.22
pay_00004,UTR6857022021004,exact_match,100,41627.03,,,,True,,41627.03
pay_00005,UTR8136760652005,exact_match,100,21209.03,,,,True,,21209.03
pay_00006,UTR9656872032006,exact_match,100,34938.39,,,,True,,34938.39
pay_00007,UTR8363942252007,exact_match,100,16218.22,,,,True,,16218.22
pay_00008,UTR3295001674008,exact_match,100,44051.66,,,,True,,44051.66
pay_00009,UTR5425961877009,exact_match,100,5232.81,,,,True,,5232.81
pay_00010,UTR4498251982010,exact_match,100,25843.07,,,,True,,25843.07
pay_00011,UTR1319995413011,exact_match,100,48101.74,,,,True,,48101.74
pay_00012,UTR3089040771012,exact_match,100,73906.44,,,,True,,73906.44
pay_00013,UTR1569976736013,exact_match,100,35908.54,,,,True,,35908.54
pay_00014,UTR4200550700014,exact_match,100,28319.83,,,,True,,28319.83
pay_00015,UTR0262195478015,exact_match,100,2840.27,,,,True,,2840.27
pay_00016,UTR6348066078016,exact_match,100,14685.54,,,,True,,14685.54
pay_00017,UTR1442294850017,exact_match,100,8640.54,,,,True,,8640.54
pay_00018,UTR9981424039018,exact_match,100,74946.54,,,,True,,74946.54
pay_00019,UTR7267764120019,exact_match,100,20257.63,,,,True,,20257.63
pay_00020,UTR7055819015020,exact_match,100,55312.42,,,,True,,55312.42
pay_00021,UTR4955006532021,exact_match,100,50803.34,,,,True,,50803.34
pay_00022,UTR2362370499022,exact_match,100,50394.59,,,,True,,50394.59
pay_00023,UTR5130224539023,exact_match,100,5957.92,,,,True,,5957.92
pay_00024,UTR0826911152024,exact_match,100,60628.95,,,,True,,60628.95
pay_00025,UTR3685290680025,exact_match,100,45559.82,,,,True,,45559.82
pay_00026,UTR6275400895026,exact_match,100,25349.96,,,,True,,25349.96
pay_00027,UTR5403990366027,exact_match,100,62677.33,,,,True,,62677.33
pay_00028,UTR8461989880028,exact_match,100,26849.06,,,,True,,26849.06
pay_00029,UTR7467217304029,exact_match,100,55374.05,,,,True,,55374.05
pay_00030,UTR3882632073030,exact_match,100,15368.18,,,,True,,15368.18
pay_00031,UTR9591919214031,exact_match,100,38450.72,,,,True,,38450.72
pay_00032,UTR4918104586032,exact_match,100,54776.61,,,,True,,54776.61
pay_00033,UTR6306338733033,exact_match,100,70549.6,,,,True,,70549.6
pay_00034,UTR6516371548034,exact_match,100,30925.27,,,,True,,30925.27
pay_00035,UTR4564424971035,exact_match,100,23138.68,,,,True,,23138.68
pay_00036,UTR6609238109036,exact_match,100,6817.27,,,,True,,6817.27
pay_00037,UTR0461642607037,exact_match,100,46039.91,,,,True,,46039.91
pay_00038,UTR7286459114038,exact_match,100,57868.44,,,,True,,57868.44
pay_00039,UTR5986758587039,exact_match,100,40069.33,,,,True,,40069.33
pay_00040,UTR7827424723040,exact_match,100,35863.25,,,,True,,35863.25
pay_00041,UTR1267045424041,exact_match,100,67030.5,,,,True,,67030.5
pay_00042,UTR9085492388042,exact_match,100,67910.47,,,,True,,67910.47
pay_00043,UTR5622403641043,exact_match,100,40597.43,,,,True,,40597.43
pay_00044,UTR9595604812044,exact_match,100,35320.57,,,,True,,35320.57
pay_00045,UTR3737820059045,exact_match,100,24887.77,,,,True,,24887.77
pay_00046,UTR0900286241046,exact_match,100,26572.05,,,,True,,26572.05
pay_00047,UTR6716718910047,exact_match,100,71107.9,,,,True,,71107.9
pay_00048,UTR9391582636048,exact_match,100,23740.81,,,,True,,23740.81
pay_00049,UTR9734353881049,exact_match,100,60511.83,,,,True,,60511.83
pay_00050,UTR8411566974050,exact_match,100,72078.67,,,,True,,72078.67
pay_00051,UTR2880824630051,exact_match,100,62017.23,,,,True,,62017.23
pay_00052,UTR4322585512052,exact_match,100,63895.99,,,,True,,63895.99
pay_00053,UTR7664702635053,exact_match,100,30778.9,,,,True,,30778.9
pay_00054,UTR3953432737054,exact_match,100,35757.91,,,,True,,35757.91
pay_00055,UTR1247952112055,exact_match,100,71340.38,,,,True,,71340.38
pay_00056,UTR7100296710056,exact_match,100,13868.4,,,,True,,13868.4
pay_00057,UTR4109484060057,exact_match,100,21683.28,,,,True,,21683.28
pay_00058,UTR9025456739058,exact_match,100,11615.22,,,,True,,11615.22
pay_00059,UTR9366792261059,exact_match,100,22652.81,,,,True,,22652.81
pay_00060,UTR1464022802060,exact_match,100,13449.11,,,,True,,13449.11
pay_00061,UTR6694569801061,exact_match,100,20209.32,,,,True,,20209.32
pay_00062,UTR8944342545062,exact_match,100,23417.08,,,,True,,23417.08
pay_00063,UTR3209859962063,exact_match,100,66762.01,,,,True,,66762.01
pay_00064,UTR1542948944064,exact_match,100,3497.26,,,,True,,3497.26
pay_00065,UTR8362985433065,exact_match,100,24418.84,,,,True,,24418.84
pay_00066,UTR8808405644066,exact_match,100,72778.76,,,,True,,72778.76
pay_00067,UTR5946196215067,exact_match,100,4345.08,,,,True,,4345.08
pay_00068,UTR2819619274068,exact_match,100,41642.73,,,,True,,41642.73
pay_00069,UTR2539588274069,exact_match,100,36446.22,,,,True,,36446.22
pay_00070,UTR2078568443070,exact_match,100,70101.51,,,,True,,70101.51
pay_00071,UTR4316527077071,exact_match,100,57334.01,,,,True,,57334.01
pay_00072,UTR9761919318072,exact_match,100,60949.96,,,,True,,60949.96
pay_00073,UTR0189072630073,exact_match,100,7928.52,,,,True,,7928.52
pay_00074,UTR8337780069074,exact_match,100,24978.14,,,,True,,24978.14
pay_00075,UTR0977112030075,exact_match,100,74808.23,,,,True,,74808.23
pay_00076,UTR1557108629076,exact_match,100,27205.52,,,,True,,27205.52
pay_00077,UTR6468425099077,exact_match,100,11162.27,,,,True,,11162.27
pay_00078,UTR6439813326078,exact_match,100,22786.99,,,,True,,22786.99
pay_00079,UTR3087997897079,exact_match,100,2134.5,,,,True,,2134.5
pay_00080,UTR3666768696080,exact_match,100,17643.82,,,,True,,17643.82
pay_00081,UTR0319342783081,exact_match,100,23515.5,,,,True,,23515.5
pay_00082,UTR8284873191082,exact_match,100,37883.71,,,,True,,37883.71
pay_00083,UTR7998370546083,exact_match,100,72504.27,,,,True,,72504.27
pay_00084,UTR3636469366084,exact_match,100,50589.39,,,,True,,50589.39
pay_00085,UTR9341934081085,exact_match,100,47837.59,,,,True,,47837.59
pay_00086,UTR9655786869086,exact_match,100,34296.46,,,,True,,34296.46
pay_00087,UTR3498065933087,exact_match,100,21340.64,,,,True,,21340.64
pay_00088,UTR9802690397088,exact_match,100,14640.74,,,,True,,14640.74
pay_00089,UTR5582775299089,exact_match,100,15787.82,,,,True,,15787.82
pay_00090,UTR1600723107090,exact_match,100,40746.05,,,,True,,40746.05
pay_00091,UTR0435426796091,exact_match,100,39693.37,,,,True,,39693.37
pay_00092,UTR9044649006092,exact_match,100,22971.46,,,,True,,22971.46
pay_00093,UTR6573525471093,exact_match,100,5393.33,,,,True,,5393.33
pay_00094,UTR5848483733094,exact_match,100,49276.12,,,,True,,49276.12
pay_00095,UTR6400473109095,exact_match,100,19489.29,,,,True,,19489.29
