payment_id,amount,fee,tax,settlement_date,utr
pay_00001,48137.3,962.75,173.29,2026-08-01,UTR7211755002001
pay_00002,45350.4,907.01,163.26,2026-08-18,UTR1652580863002
pay_00003,12083.22,241.66,43.5,2026-08-25,UTR3008687593003
pay_00004,41627.03,832.54,149.86,2026-08-21,UTR6857022021004
pay_00005,21209.03,424.18,76.35,2026-08-21,UTR8136760652005
pay_00006,34938.39,698.77,125.78,2026-08-09,UTR9656872032006
pay_00007,16218.22,324.36,58.38,2026-08-19,UTR8363942252007
pay_00008,44051.66,881.03,158.59,2026-08-19,UTR3295001674008
pay_00009,5232.81,104.66,18.84,2026-08-13,UTR5425961877009
pay_00010,25843.07,516.86,93.03,2026-08-10,UTR4498251982010
pay_00011,48101.74,962.03,173.17,2026-08-20,UTR1319995413011
pay_00012,73906.44,1478.13,266.06,2026-08-26,UTR3089040771012
pay_00013,35908.54,718.17,129.27,2026-08-18,UTR1569976736013
pay_00014,28319.83,566.4,101.95,2026-08-17,UTR4200550700014
pay_00015,2840.27,56.81,10.23,2026-08-11,UTR0262195478015
pay_00016,14685.54,293.71,52.87,2026-08-04,UTR6348066078016
pay_00017,8640.54,172.81,31.11,2026-08-07,UTR1442294850017
pay_00018,74946.54,1498.93,269.81,2026-08-01,UTR9981424039018
pay_00019,20257.63,405.15,72.93,2026-08-26,UTR7267764120019
pay_00020,55312.42,1106.25,199.12,2026-08-02,UTR7055819015020
pay_00021,50803.34,1016.07,182.89,2026-08-08,UTR4955006532021
pay_00022,50394.59,1007.89,181.42,2026-08-11,UTR2362370499022
pay_00023,5957.92,119.16,21.45,2026-08-07,UTR5130224539023
pay_00024,60628.95,1212.58,218.26,2026-08-17,UTR0826911152024
pay_00025,45559.82,911.2,164.02,2026-08-23,UTR3685290680025
pay_00026,25349.96,507.0,91.26,2026-08-05,UTR6275400895026
pay_00027,62677.33,1253.55,225.64,2026-08-19,UTR5403990366027
pay_00028,26849.06,536.98,96.66,2026-08-18,UTR8461989880028
pay_00029,55374.05,1107.48,199.35,2026-08-11,UTR7467217304029
pay_00030,15368.18,307.36,55.32,2026-08-15,UTR3882632073030
pay_00031,38450.72,769.01,138.42,2026-08-22,UTR9591919214031
pay_00032,54776.61,1095.53,197.2,2026-08-11,UTR4918104586032
pay_00033,70549.6,1410.99,253.98,2026-08-24,UTR6306338733033
pay_00034,30925.27,618.51,111.33,2026-08-13,UTR6516371548034
pay_00035,23138.68,462.77,83.3,2026-08-07,UTR4564424971035
pay_00036,6817.27,136.35,24.54,2026-08-17,UTR6609238109036
pay_00037,46039.91,920.8,165.74,2026-08-25,UTR0461642607037
pay_00038,57868.44,1157.37,208.33,2026-08-04,UTR7286459114038
pay_00039,40069.33,801.39,144.25,2026-08-18,UTR5986758587039
pay_00040,19809.77,396.2,71.32,2026-08-08,UTR8274247238040
pay_00041,11736.88,234.74,42.25,2026-08-13,UTR6704542495041
pay_00042,64326.54,1286.53,231.58,2026-08-25,UTR5492388577042
pay_00043,36873.1,737.46,132.74,2026-08-09,UTR4036414160043
pay_00044,42547.2,850.94,153.17,2026-08-01,UTR0481234382044
pay_00045,31906.58,638.13,114.86,2026-08-03,UTR4709209002045
pay_00046,46789.51,935.79,168.44,2026-08-08,UTR1652671671046
pay_00047,72371.7,1447.43,260.54,2026-08-04,UTR5959391582047
pay_00048,52440.88,1048.82,188.79,2026-08-10,UTR8619734353048
pay_00049,63793.38,1275.87,229.66,2026-08-16,UTR1968747928049
pay_00050,40593.88,811.88,146.14,2026-08-16,UTR4853292475050
pay_00051,50280.04,1005.6,181.01,2026-08-11,UTR0812738720051
pay_00052,71130.66,1422.61,256.07,2026-08-03,UTR2452474024052
pay_00053,18626.23,372.52,67.05,2026-08-22,UTR5454737221053
pay_00054,14847.53,296.95,53.45,2026-08-04,UTR7961725759054
pay_00055,62530.81,1250.62,225.11,2026-08-10,UTR3371002967055
pay_00056,8142.78,162.86,29.31,2026-08-01,UTR4410948406056
pay_00057,4493.88,89.88,16.18,2026-08-05,UTR0254567392057
pay_00058,44345.12,886.9,159.64,2026-08-14,UTR5090762025058
pay_00059,12161.68,243.23,43.78,2026-08-14,UTR6402280227059
pay_00060,44439.32,888.79,159.98,2026-08-26,UTR4569801375060
pay_00061,24512.96,490.26,88.25,2026-08-09,UTR2166954004061
pay_00062,2426.93,48.54,8.74,2026-08-08,UTR2166954004061
pay_00063,74772.44,1495.45,269.18,2026-08-14,UTR5078571542063
pay_00064,47791.46,955.83,172.05,2026-08-16,UTR5078571542063
pay_00065,34384.53,687.69,123.78,2026-08-11,UTR3368362985065
pay_00066,19303.71,386.07,69.49,2026-08-04,UTR3368362985065
pay_00067,4345.08,86.9,15.64,2026-08-09,UTR8808405644067
pay_00068,41416.86,828.34,149.1,2026-08-10,UTR8808405644067
pay_00069,36611.03,732.22,131.8,2026-08-01,UTR9621550994069
pay_00070,9251.23,185.02,33.3,2026-08-05,UTR4752892539070
pay_00071,38363.95,767.28,138.11,2026-08-05,UTR8274958225071
pay_00072,74918.22,1498.36,269.7,2026-08-16,UTR8443739892072
pay_00073,29031.33,580.63,104.51,2026-08-25,UTR4349397619073
pay_00074,9905.35,198.11,35.66,2026-08-19,UTR3180901890074
